"Year" "Month" "County" "Count"
2012 5 "Alameda" 30
2012 6 "Alameda" 35
2012 7 "Alameda" 30
2012 8 "Alameda" 37
2012 9 "Alameda" 25
2012 10 "Alameda" 28
2012 11 "Alameda" 28
2012 12 "Alameda" 46
2012 1 "Los Angeles" 258
2012 2 "Los Angeles" 271
2012 3 "Los Angeles" 291
2012 4 "Los Angeles" 273
2012 5 "Los Angeles" 230
2012 6 "Los Angeles" 197
2012 7 "Los Angeles" 225
2012 8 "Los Angeles" 185
2012 9 "Los Angeles" 193
2012 10 "Los Angeles" 198
2012 11 "Los Angeles" 220
2012 12 "Los Angeles" 253
2012 1 "Orange" 89
2012 2 "Orange" 88
2012 3 "Orange" 83
2012 4 "Orange" 87
2012 5 "Orange" 85
2012 6 "Orange" 54
2012 7 "Orange" 64
2012 8 "Orange" 70
2012 9 "Orange" 66
2012 10 "Orange" 75
2012 11 "Orange" 85
2012 12 "Orange" 88
2012 1 "Riverside" 103
2012 2 "Riverside" 92
2012 3 "Riverside" 87
2012 4 "Riverside" 81
2012 5 "Riverside" 96
2012 6 "Riverside" 65
2012 7 "Riverside" 67
2012 8 "Riverside" 63
2012 9 "Riverside" 72
2012 10 "Riverside" 61
2012 11 "Riverside" 77
2012 12 "Riverside" 82
2012 1 "Sacramento" 53
2012 2 "Sacramento" 52
2012 3 "Sacramento" 65
2012 4 "Sacramento" 65
2012 5 "Sacramento" 37
2012 6 "Sacramento" 37
2012 7 "Sacramento" 33
2012 8 "Sacramento" 38
2012 9 "Sacramento" 47
2012 10 "Sacramento" 38
2012 11 "Sacramento" 42
2012 12 "Sacramento" 46
2012 1 "San Bernardino" 84
2012 2 "San Bernardino" 77
2012 3 "San Bernardino" 91
2012 4 "San Bernardino" 92
2012 5 "San Bernardino" 59
2012 6 "San Bernardino" 78
2012 7 "San Bernardino" 78
2012 8 "San Bernardino" 73
2012 9 "San Bernardino" 89
2012 10 "San Bernardino" 72
2012 11 "San Bernardino" 62
2012 12 "San Bernardino" 72
2012 1 "San Diego" 116
2012 2 "San Diego" 78
2012 3 "San Diego" 102
2012 4 "San Diego" 92
2012 5 "San Diego" 93
2012 6 "San Diego" 84
2012 7 "San Diego" 61
2012 8 "San Diego" 80
2012 9 "San Diego" 68
2012 10 "San Diego" 89
2012 11 "San Diego" 72
2012 12 "San Diego" 113
2012 1 "Santa Clara" 46
2012 2 "Santa Clara" 48
2012 3 "Santa Clara" 47
2012 4 "Santa Clara" 49
2012 5 "Santa Clara" 43
2012 6 "Santa Clara" 33
2012 7 "Santa Clara" 37
2012 8 "Santa Clara" 27
2012 9 "Santa Clara" 18
2012 10 "Santa Clara" 25
2012 11 "Santa Clara" 40
2012 12 "Santa Clara" 38
2013 1 "Alameda" 53
2013 2 "Alameda" 34
2013 3 "Alameda" 62
2013 4 "Alameda" 44
2013 5 "Alameda" 38
2013 6 "Alameda" 28
2013 7 "Alameda" 36
2013 8 "Alameda" 36
2013 9 "Alameda" 25
2013 10 "Alameda" 24
2013 11 "Alameda" 40
2013 12 "Alameda" 34
2013 1 "Los Angeles" 360
2013 2 "Los Angeles" 351
2013 3 "Los Angeles" 284
2013 4 "Los Angeles" 264
2013 5 "Los Angeles" 215
2013 6 "Los Angeles" 215
